TANQUE,PRODUCTO,h,DIAM.,CONO,h M.,T °C,LIT/CMS,KG/CMS,DENS.,KG.,% AGUA/OTRO,FECHA
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,373,55,114.0094494,102.60850445999999,0.9,24568.215557019998,,2020-04-23
TK2,INTERESTERIFICADO ,610,381,250,407,55,114.0094494,102.60850445999999,0.9,21079.52640538,,2020-04-23
TK3,PALMISTE RBD,610,381,250,580,55,114.0094494,98.048126484,0.86,3191.4437945199998,,2020-04-23
TK4,GRASA DURA ,610,381,250,VACIO,55,114.0094494,102.60850445999999,0.9,,,2020-04-23
TK5,PALMA RBD,610,381,250,82,55,114.0094494,102.60850445999999,0.9,54427.290354879995,,2020-04-23
TK 800,PALMA RBD,1224,968,5000,183,,735.9386496,662.34478464,0.9,694500.92081024,,2020-04-23
TK 500,PALMA RBD,733,960,3500,34,20,723.82464,651.442176,0.9,458858.081024,,2020-04-23
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,289,50,114.0094494,102.31633039185253,0.8974372820000001,33093.54205578466,,2020-04-23
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,VACIO,100,69.7466616,63.469462056,0.91,,,2020-04-23
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,VACIO,60,69.7466616,63.469462056,0.91,,,2020-04-23
TK 370,PALMISTE CRUDO ,839,771,3891,VACIO,60,466.8739614,415.517825646,0.89,,,2020-04-23
CRISTA 1,PALMA RBD,740,292,2200,130,50,66.9663456,59.600047583999995,0.89,38556.029026239994,,2020-04-23
CRISTA 2,PALMA RBD,745,292,2200,120,50,66.9663456,59.600047583999995,0.89,39450.02974,,2020-04-23
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,VACIO,50,145.22046,130.698414,0.9,,,2020-04-23
OLEINA LAVADO,OLEINA LAVADO ,350,160,200,5,50,20.106240000000003,17.894553600000002,0.89,6373.620992000001,,2020-04-23
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,VACIO,50,118.8475134,106.96276206,0.9,,,2020-04-23
TK150 ,OLEINA DESPACHO ,915,490,1500,912,,188.57454,167.8313406,0.89,2003.4940218000002,,2020-04-23
TK EMPAQUE  ,OLEINA ,306,249,200,306,70,48.6955854,43.339071006,0.89,200,,2020-04-23
CRISTA 1,,300,270,1200,VACIO,60,57.25566,51.530094,0.9,,,2020-04-23
CRISTA 2,,459,194,200,VACIO,,29.56,26.604,0.9,,,2020-04-23
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-04-23
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-04-23
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,373,55,114.0094494,102.60850445999999,0.9,24568.215557019998,,2020-04-23
TK2,INTERESTERIFICADO ,610,381,250,407,55,114.0094494,102.60850445999999,0.9,21079.52640538,,2020-04-23
TK3,PALMISTE RBD,610,381,250,580,55,114.0094494,98.048126484,0.86,3191.4437945199998,,2020-04-23
TK4,GRASA DURA ,610,381,250,VACIO,55,114.0094494,102.60850445999999,0.9,,,2020-04-23
TK5,PALMA RBD,610,381,250,82,55,114.0094494,102.60850445999999,0.9,54427.290354879995,,2020-04-23
TK 800,PALMA RBD,1224,968,5000,183,,735.9386496,662.34478464,0.9,694500.92081024,,2020-04-23
TK 500,PALMA RBD,733,960,3500,34,20,723.82464,651.442176,0.9,458858.081024,,2020-04-23
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,289,50,114.0094494,102.31633039185253,0.8974372820000001,33093.54205578466,,2020-04-23
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,307,100,69.7466616,63.469462056,0.91,9833.888770456,,2020-04-23
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,VACIO,60,69.7466616,63.469462056,0.91,,,2020-04-23
TK 370,PALMISTE CRUDO ,839,771,3891,VACIO,60,466.8739614,415.517825646,0.89,,,2020-04-23
CRISTA 1,PALMA RBD,671,292,2200,0,50,66.9663456,60.0688120032,0.897,42506.172854147204,,2020-04-23
CRISTA 2,PALMA RBD,671,292,2200,0,50,66.9663456,60.0688120032,0.897,42506.172854147204,,2020-04-23
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,VACIO,50,145.22046,130.698414,0.9,,,2020-04-23
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,5,50,20.106240000000003,17.894553600000002,0.89,5550.471526400001,,2020-04-23
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,VACIO,50,118.8475134,106.96276206,0.9,,,2020-04-23
TK150 ,OLEINA DESPACHO ,915,490,1500,912,,188.57454,167.8313406,0.89,2003.4940218000002,,2020-04-23
TK EMPAQUE  ,OLEINA ,306,249,200,306,70,48.6955854,43.339071006,0.89,200,,2020-04-23
CRISTA 1,,300,270,1200,VACIO,60,57.25566,51.530094,0.9,,,2020-04-23
CRISTA 2,,459,194,200,VACIO,,29.56,26.604,0.9,,,2020-04-23
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-04-23
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-04-23
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,506,55,114.0094494,102.60850445999999,0.9,10921.284463839998,,2020-04-24
TK2,INTERESTERIFICADO ,610,381,250,415,55,114.0094494,102.60850445999999,0.9,20258.6583697,,2020-04-24
TK3,PALMISTE RBD,610,381,250,377,55,114.0094494,98.048126484,0.86,23095.213470772,,2020-04-24
TK4,GRASA DURA ,610,381,250,VACIO,55,114.0094494,102.60850445999999,0.9,,,2020-04-24
TK5,PALMA RBD,610,381,250,28,55,114.0094494,102.60850445999999,0.9,59968.149595719995,,2020-04-24
TK 800,PALMA RBD,1224,968,5000,186,,735.9386496,662.34478464,0.9,692513.88645632,,2020-04-24
TK 500,PALMA RBD,733,960,3500,7,20,723.82464,651.442176,0.9,476447.019776,,2020-04-24
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,569,50,114.0094494,102.31633039185253,0.8974372820000001,4444.969546065954,,2020-04-24
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,17,100,69.7466616,63.469462056,0.91,28240.032766696,,2020-04-24
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,130,60,69.7466616,63.469462056,0.91,21067.983554368,,2020-04-24
TK 370,PALMISTE CRUDO ,839,771,3891,VACIO,60,466.8739614,415.517825646,0.89,,,2020-04-24
CRISTA 1,PALMA RBD,671,292,2200,185,50,66.9663456,60.0688120032,0.897,31393.4426335552,,2020-04-24
CRISTA 2,PALMA RBD,671,292,2200,0,50,66.9663456,60.0688120032,0.897,42506.172854147204,,2020-04-24
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,VACIO,50,145.22046,130.698414,0.9,,,2020-04-24
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,VACIO,50,20.106240000000003,17.894553600000002,0.89,,,2020-04-24
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,VACIO,50,118.8475134,106.96276206,0.9,,,2020-04-24
TK150 ,OLEINA DESPACHO ,915,490,1500,802,,188.57454,167.8313406,0.89,20464.9414878,,2020-04-24
TK EMPAQUE  ,OLEINA ,306,249,200,306,70,48.6955854,43.339071006,0.89,200,,2020-04-24
CRISTA 1,,300,270,1200,VACIO,60,57.25566,51.530094,0.9,,,2020-04-24
CRISTA 2,,459,194,200,VACIO,,29.56,26.604,0.9,,,2020-04-24
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-04-24
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-04-24
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,566,55,114.0094494,102.60850445999999,0.9,4764.77419624,,2020-04-25
TK2,INTERESTERIFICADO ,610,381,250,427,55,114.0094494,102.60850445999999,0.9,19027.356316179998,,2020-04-25
TK3,PALMISTE RBD,610,381,250,560,55,114.0094494,98.048126484,0.86,5152.406324199999,,2020-04-25
TK4,GRASA DURA ,610,381,250,VACIO,55,114.0094494,102.60850445999999,0.9,,,2020-04-25
TK5,PALMA RBD,610,381,250,209,55,114.0094494,102.60850445999999,0.9,41396.01028846,,2020-04-25
TK 800,PALMA RBD,1224,968,5000,174,,735.9386496,662.34478464,0.9,700462.0238719999,,2020-04-25
TK 500,PALMA RBD,733,960,3500,7,20,723.82464,651.442176,0.9,476447.019776,,2020-04-25
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,528,50,114.0094494,102.31633039185253,0.8974372820000001,8639.939092131908,,2020-04-25
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,250,100,69.7466616,63.469462056,0.91,13451.648107648,,2020-04-25
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,150,60,69.7466616,63.469462056,0.91,19798.594313248,,2020-04-25
TK 370,PALMISTE CRUDO ,839,771,3891,VACIO,60,466.8739614,415.517825646,0.89,,,2020-04-25
CRISTA 1,PALMA RBD,671,292,2200,8,50,66.9663456,60.0688120032,0.897,42025.6223581216,,2020-04-25
CRISTA 2,PALMA RBD,671,292,2200,24,50,66.9663456,60.0688120032,0.897,41064.5213660704,,2020-04-25
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,VACIO,50,145.22046,130.698414,0.9,,,2020-04-25
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,VACIO,50,20.106240000000003,17.894553600000002,0.89,,,2020-04-25
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,VACIO,50,118.8475134,106.96276206,0.9,,,2020-04-25
TK150 ,OLEINA DESPACHO ,915,490,1500,685,,188.57454,167.8313406,0.89,40101.208338000004,,2020-04-25
TK EMPAQUE  ,OLEINA ,306,249,200,306,70,48.6955854,43.339071006,0.89,200,,2020-04-25
CRISTA 1,,300,270,1200,VACIO,60,57.25566,51.530094,0.9,,,2020-04-25
CRISTA 2,,459,194,200,VACIO,,29.56,26.604,0.9,,,2020-04-25
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-04-25
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-04-25
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,440,55,114.0094494,102.60850445999999,0.9,17693.4457582,,2020-04-27
TK2,INTERESTERIFICADO ,610,381,250,470,55,114.0094494,102.60850445999999,0.9,14615.190624399998,,2020-04-27
TK3,PALMISTE RBD,610,381,250,577,55,114.0094494,98.048126484,0.86,3485.588173972,,2020-04-27
TK4,GRASA DURA ,610,381,250,524,55,114.0094494,102.60850445999999,0.9,9074.33138356,,2020-04-27
TK5,PALMA RBD,610,381,250,75,55,114.0094494,102.60850445999999,0.9,55145.549886099994,,2020-04-27
